Job_Number,Job_Type,Job_Status,BIN,BBL,Boro,AddressNum,AddressSt,CompltYear,PermitYear,ClassAInit,ClassAProp,ClassANet,Units_CO,DateFiled,DatePermit,DateComplt,Bldg_Class,Job_Desc,Latitude,Longitude,hdb_completed,hdb_address,scope_via,pluto_current_bbl,bbl_sunsetted
302233189,New Building,5. Completed Construction,3094551,3042080017,3,886,GLENMORE AVENUE,2021.0,2016.0,0.0,3,3.0,3.0,2006-09-21,2016-10-18,2021-01-14,C0,,40.67580846118023,-73.8772515462959,True,886 GLENMORE AVENUE,bbl_block,3042080017,False
302239487,Alteration,5. Completed Construction,3087997,3039540019,3,2966,FULTON STREET,2011.0,2007.0,2.0,2,0.0,2.0,2006-11-01,2007-11-28,2011-01-13,K4,"GUT REHABILITAION OF EXISTING RESIDENTIAL/ COMMERCIAL BUILDING. WORK INCLUDES NEW STAIRS, NEW LAYOUT AND WOOD JOIST REPLACEMENT. NEW PLUMBING &amp; HEATING. INCLUDE NEW BOILER INSTALLATION.",40.67958371053946,-73.8851943894993,True,2966 FULTON STREET,bbl_block,3039540019,False
302261031,New Building,5. Completed Construction,3088390,3039710047,3,737,LIBERTY AVENUE,2015.0,2007.0,0.0,3,3.0,3.0,2006-11-21,2007-03-21,2015-05-08,C1,,40.67661911326604,-73.88259096899995,True,737 LIBERTY AVENUE,bbl_block,3039710047,False
302366570,New Building,5. Completed Construction,3397036,3039777501,3,509,GLENMORE AVENUE,2010.0,2008.0,0.0,12,12.0,12.0,2007-07-11,2008-08-01,2010-12-14,R0,PAA,40.67408430431706,-73.89134261001676,True,509 GLENMORE AVENUE,bbl_block,3039777501,False
302328522,New Building,5. Completed Construction,3396924,3039830125,3,296,ASHFORD STREET,2011.0,2007.0,0.0,2,2.0,2.0,2007-04-17,2007-11-27,2011-01-28,B2,,40.67519536625446,-73.88568251030503,True,296 ASHFORD STREET,bbl_block,3039830125,False
310055702,New Building,5. Completed Construction,3397490,3041900025,3,902,LIBERTY AVENUE,2010.0,2008.0,0.0,47,47.0,47.0,2007-11-27,2008-11-20,2010-10-25,D9,,40.677201528613566,-73.87629981067116,True,902 LIBERTY AVENUE,bbl_block,3041900025,False
310106186,New Building,5. Completed Construction,3422276,3040080021,3,878,GLENMORE AVENUE,2015.0,2012.0,0.0,3,3.0,3.0,2008-03-14,2012-06-22,2015-05-18,C0,,40.67572759307671,-73.87760043794344,True,878 GLENMORE AVENUE,bbl_block,3040080021,False
320196676,New Building,5. Completed Construction,3398481,3041540008,3,341,LOGAN STREET,2013.0,2011.0,0.0,3,3.0,3.0,2010-07-30,2011-08-04,2013-02-19,B2,,40.67807593680753,-73.87676118221995,True,341 LOGAN STREET,bbl_block,3041540008,False
320176171,Alteration,5. Completed Construction,3093157,3041540007,3,339,LOGAN STREET,2012.0,2011.0,2.0,2,0.0,2.0,2010-06-17,2011-02-17,2012-12-12,B2,,40.67813251330089,-73.87677847492981,True,339 LOGAN STREET,bbl_block,3041540007,False
320422048,New Building,5. Completed Construction,3087925,3039520027,3,156,ASHFORD STREET,2013.0,2012.0,0.0,4,4.0,4.0,2012-02-06,2012-09-25,2013-11-19,S4,,40.678875589139125,-73.88663650126968,True,156 ASHFORD STREET,bbl_block,3039520027,False
320373528,New Building,5. Completed Construction,3422260,3040060031,3,176,ATKINS AVENUE,2013.0,2012.0,0.0,2,2.0,2.0,2012-02-10,2012-06-27,2013-11-21,B1,,40.67476374627242,-73.87932675945562,True,176 ATKINS AVENUE,bbl_block,3040060031,False
320461308,Alteration,5. Completed Construction,3088142,3039580011,3,193,SHEPHERD AVENUE,2016.0,2015.0,2.0,2,0.0,2.0,2012-04-11,2015-04-23,2016-08-30,B1,TO OBTAIN CERTIFIED OF OCCUPANCY FOR AN EXISTING 2 FAMILY DWELLING.  INSTALL NEW PLUMBING FIXTURES IN CELLAR.,40.68006330959948,-73.88157375828163,True,193 SHEPHERD AVENUE,bbl_block,3039580011,False
320548252,Alteration,5. Completed Construction,3087923,3039520023,3,2930,FULTON STREET,2013.0,2012.0,2.0,4,2.0,4.0,2012-08-24,2012-12-03,2013-12-23,K4,"CHANGE USE FROM MANUFACTURING TO COMMERCIAL ON FIRST FLOOR, COMMUNITY FACILITY ON SECOND FLOOR AND TWO FAMILY DWELLING ON THIRD FLOOR. OBTAIN NEW C OF O",40.67912321642334,-73.88657014748956,True,2930 FULTON STREET,bbl_block,3039520023,False
320550186,New Building,5. Completed Construction,3397849,3039830010,3,327,WARWICK STREET,2019.0,2014.0,0.0,2,2.0,2.0,2012-08-29,2014-07-24,2019-12-10,B1,,40.67581810023969,-73.88627623267685,True,327 WARWICK STREET,bbl_block,3039830010,False
320550195,New Building,5. Completed Construction,3397850,3039830011,3,329,WARWICK STREET,2019.0,2014.0,0.0,2,2.0,2.0,2012-08-29,2014-11-18,2019-12-10,B1,,40.67576345518816,-73.88626230154351,True,329 WARWICK STREET,bbl_block,3039830011,False
320550202,New Building,5. Completed Construction,3397851,3039830012,3,331,WARWICK STREET,2019.0,2014.0,0.0,2,2.0,2.0,2012-08-29,2014-11-18,2019-12-10,B1,,40.675708806401474,-73.88624846087681,True,331 WARWICK STREET,bbl_block,3039830012,False
320550211,New Building,5. Completed Construction,3397852,3039830013,3,333,WARWICK STREET,2019.0,2014.0,0.0,2,2.0,2.0,2012-08-29,2014-07-24,2019-12-10,B1,,40.675654163954086,-73.88623419940765,True,333 WARWICK STREET,bbl_block,3039830013,False
320550220,New Building,5. Completed Construction,3397853,3039830014,3,335,WARWICK STREET,2019.0,2014.0,0.0,2,2.0,2.0,2012-08-29,2014-07-24,2019-12-10,B1,,40.6755994082974,-73.88621984206962,True,335 WARWICK STREET,bbl_block,3039830014,False
320819708,Alteration,5. Completed Construction,3426956,3039770032,3,531,GLENMORE AVENUE,2023.0,2015.0,0.0,3,3.0,3.0,2014-06-03,2015-05-19,2023-07-17,C0,,40.674185,-73.890864,True,531 GLENMORE AVENUE,bbl_block,3039770032,False
320819717,Alteration,5. Completed Construction,3327140,3039770033,3,527,GLENMORE AVENUE,2023.0,2015.0,0.0,2,2.0,2.0,2014-06-03,2015-06-02,2023-08-14,B9,OBTAIN NEW CO AS 2-FAMILY DWELLING AS A RESULT OF LOT SUBDIVISION. PROPOSE 2 STORY HORIZONTAL ENLARGEMENT.,40.67412346887548,-73.8908738523926,True,527 GLENMORE AVENUE,bbl_block,3039770033,False
320915630,New Building,5. Completed Construction,3426517,3039520022,3,2926,FULTON STREET,2019.0,2017.0,0.0,3,3.0,3.0,2014-04-25,2017-04-10,2019-05-14,S3,,40.67909888509966,-73.88670464732967,True,2926 FULTON STREET,bbl_block,3039520022,False
321184446,New Building,5. Completed Construction,3428606,3041437501,3,250,EUCLID AVENUE,2024.0,2021.0,0.0,403,403.0,403.0,2017-01-27,2021-07-01,2024-02-01,R0,,40.682562696542085,-73.87461975875902,True,250 EUCLID AVENUE,bbl_block,3041437501,False
321184491,New Building,5. Completed Construction,3328398,3039710049,3,735,LIBERTY AVENUE,2021.0,2019.0,0.0,10,10.0,10.0,2017-02-02,2019-01-17,2021-12-07,C7,"PROPOSED NEW 4 STORY AND CELLAR BUILDING, 10 RESIDENTIAL UNITS, 1 STORE ON FIRST FLOOR",40.67663228870298,-73.88269379992984,True,735 LIBERTY AVENUE,bbl_block,3039710049,False
321184507,Alteration,5. Completed Construction,3088390,3039710047,3,737,LIBERTY AVENUE,2020.0,2018.0,3.0,10,7.0,10.0,2017-02-02,2018-09-18,2020-04-16,C1,"PROPOSED HORIZONTAL AND VERTICAL ENLARGEMENT OF EXISTING 3 STORY, 3 UNITS AND 1 STORE BUILDING; NEW 4TH FLOOR AND REAR EXTENSION TO CREATE 10 CLASS A APARTMENTS.",40.67661911326604,-73.88259096899995,True,737 LIBERTY AVENUE,bbl_block,3039710047,False
321193944,New Building,5. Completed Construction,3425163,3039710019,3,315,LINWOOD STREET,2020.0,2018.0,0.0,100,100.0,100.0,2017-06-29,2018-06-28,2020-05-27,D6,A 10 STORY NEW BUILDING,40.678034198869554,-73.88335150301509,True,315 LINWOOD STREET,bbl_block,3039710019,False
321384337,New Building,5. Completed Construction,3426287,3041547501,3,265,LOGAN STREET,2025.0,2022.0,0.0,343,343.0,343.0,2018-09-17,2022-09-29,2025-03-20,R0,,40.67973195056644,-73.8769275791718,True,265 LOGAN STREET,bbl_block,3041547501,False
321400462,Alteration,5. Completed Construction,3088475,3039770001,3,275,MILLER AVENUE,2021.0,2017.0,0.0,7,7.0,7.0,2016-06-08,2017-04-26,2021-07-22,C1,CONVERSION TO 7-UNIT RESIDENCE,40.67432115710339,-73.89139230462835,True,275 MILLER AVENUE,bbl_block,3039770001,False
321595350,New Building,5. Completed Construction,3428583,3039560059,3,190,ESSEX STREET,2023.0,2020.0,0.0,15,15.0,15.0,2019-10-17,2020-09-22,2023-09-21,C1,,40.67975198058772,-73.88302208496825,True,190 ESSEX STREET,bbl_block,3039560059,False
321595699,New Building,1. Filed Application,3252981,3042080010,3,175,MILFORD STREET,,,0.0,3,3.0,,2019-11-07,,,V0,,40.675343,-73.87699,False,175 MILFORD STREET,bbl_block,3042080010,False
321595859,New Building,1. Filed Application,3252982,3042080035,3,446,LOGAN STREET,,,0.0,3,3.0,,2019-11-13,,,V0,,40.675282,-73.876611,False,446 LOGAN STREET,bbl_block,3042080035,False
321621937,New Building,3. Permitted for Construction,3424449,3039850001,3,395,CLEVELAND STREET,,2023.0,0.0,3,3.0,,2017-07-14,2023-05-08,,C0,,40.675208,-73.884424,False,395 CLEVELAND STREET,bbl_block,3039850001,False
321621946,New Building,3. Permitted for Construction,3429478,3039850003,3,389,CLEVELAND STREET,,2023.0,0.0,3,3.0,,2017-07-14,2023-04-28,,C0,,40.675307,-73.884387,False,389 CLEVELAND STREET,bbl_block,3039850003,False
321635637,New Building,5. Completed Construction,3426568,3040060013,3,820,GLENMORE AVENUE,2020.0,2019.0,0.0,79,79.0,79.0,2017-08-09,2019-01-16,2020-09-09,D3,,40.67542760488027,-73.87960152219004,True,820 GLENMORE AVENUE,bbl_block,3040060013,False
321660332,New Building,5. Completed Construction,3319656,3040030035,3,2437,PITKIN AVENUE,2020.0,2019.0,0.0,32,32.0,32.0,2017-09-27,2019-01-04,2020-10-30,D6,,40.67413761612905,-73.8824654009287,True,2437 PITKIN AVENUE,bbl_block,3040030035,False
321731453,Alteration,5. Completed Construction,3088748,3039910037,3,849,GLENMORE AVENUE,2021.0,2019.0,1.0,2,1.0,2.0,2018-08-24,2019-07-18,2021-02-18,B3,"CELLAR, 1ST FLOOR AND 2ND FLOOR + INTERIOR WORK + CONCERSION FROM ONE TO TWO FAMILY DWELLING.",40.67588815192693,-73.8788326345186,True,849 GLENMORE AVENUE,bbl_block,3039910037,False
321703705,Demolition,5. Completed Construction,3087869,3039500047,3,2863,ATLANTIC AVENUE,2018.0,2018.0,2.0,0,-2.0,,2018-01-11,2018-04-26,2018-04-26,V1,THIS IS A FULL DEMOLITION OF 2 STORY MIXED RESIDENTIAL AND COMMERCIAL BUILDING. PLANS SUBMITTED.   FENCE FILED UNDER SEPARATE APPLICATION.,40.677293,-73.888487,True,2863 ATLANTIC AVENUE,bbl_block,3039500047,False
321718361,Demolition,5. Completed Construction,3328398,3039710049,3,735,LIBERTY AVENUE,2018.0,2018.0,1.0,0,-1.0,,2018-05-23,2018-07-25,2018-07-25,C7,FULL DEMOLITION OF EXISTING BUILDING,40.67663228870298,-73.88269379992984,True,735 LIBERTY AVENUE,bbl_block,3039710049,False
321718414,Demolition,5. Completed Construction,3328398,3039710049,3,735 REAR,LIBERTY AVENUE,2018.0,2018.0,1.0,0,-1.0,,2018-05-29,2018-07-25,2018-07-25,C7,FULL DEMOLITION OF EXISTING BUILDING,40.67667025430372,-73.8827010699022,True,735 REAR LIBERTY AVENUE,bbl_block,3039710049,False
321813524,New Building,3. Permitted for Construction,3380644,3041930129,3,30,DOSCHER STREET,,2022.0,0.0,2,2.0,,2018-07-24,2022-06-21,,B2,,40.6768974652536,-73.8734148254778,False,30 DOSCHER STREET,bbl_block,3041930129,False
321904631,New Building,5. Completed Construction,3088392,3039710051,3,729,LIBERTY AVENUE,2021.0,2020.0,0.0,10,10.0,10.0,2019-01-10,2020-06-01,2021-12-22,C7,,40.67660891507859,-73.88287036938193,True,729 LIBERTY AVENUE,bbl_block,3039710051,False
321835430,New Building,5. Completed Construction,3088675,3039870010,3,720,LIBERTY AVENUE,2023.0,2021.0,0.0,10,10.0,10.0,2018-09-21,2021-01-12,2023-01-20,C7,,40.67621774132951,-73.88304766559052,True,720 LIBERTY AVENUE,bbl_block,3039870010,False
321931898,Demolition,5. Completed Construction,3088392,3039710051,3,729,LIBERTY AVENUE,2019.0,2019.0,2.0,0,-2.0,,2019-03-12,2019-12-05,2019-12-05,C7,PROPOSE FULL DEMOLITION OF EXISTING TWO STORY FRAMED BUILDING WITH BASEMENT.,40.67660891507859,-73.88287036938193,True,729 LIBERTY AVENUE,bbl_block,3039710051,False
321974388,New Building,5. Completed Construction,3425604,3039600046,3,234,NORWOOD AVENUE,2024.0,2023.0,0.0,6,6.0,6.0,2019-06-28,2023-01-06,2024-09-05,C2,,40.68035945500044,-73.87916678802048,True,234 NORWOOD AVENUE,bbl_block,3039600046,False
321979702,Demolition,5. Completed Construction,3088722,3039890007,3,341,SHEPHERD AVENUE,2022.0,2022.0,2.0,0,-2.0,,2019-08-12,2022-01-10,2022-01-10,V0,DEMOLITION OF A TWO STORY HOUSE,40.676215,-73.881029,True,341 SHEPHERD AVENUE,bbl_block,3039890007,False
322039888,New Building,5. Completed Construction,3430261,3039520020,3,2922,FULTON STREET,2025.0,2022.0,0.0,7,7.0,7.0,2020-02-25,2022-05-11,2025-09-09,D6,,40.67900780616601,-73.88686815009952,True,2922 FULTON STREET,bbl_block,3039520020,False
322102176,Demolition,5. Completed Construction,3430036,3039710050,3,731,LIBERTY AVENUE,2022.0,2022.0,1.0,0,-1.0,,2021-11-22,2022-04-07,2022-04-07,C7,FULL DEMOLITION TO A TWO STORY BUILDING,40.676656,-73.882795,True,731 LIBERTY AVENUE,bbl_block,3039710050,False
322098207,Demolition,5. Completed Construction,3088947,3040030003,3,447,LINWOOD STREET,2022.0,2022.0,2.0,0,-2.0,,2021-07-19,2022-03-22,2022-03-22,V0,DEMOLITION OF STRUCTURE,40.674446,-73.882464,True,447 LINWOOD STREET,bbl_block,3040030003,False
322106911,Demolition,5. Completed Construction,3429466,3039890001,3,353,SHEPHERD AVENUE,2022.0,2022.0,1.0,0,-1.0,,2022-07-14,2022-10-31,2022-10-31,V0,PROPOSE FULL DEMOLITION OF ONE-STORY DETACHED RESIDENTIAL BUILDING USING NON-MECHANICAL MEANS.,40.675756,-73.880915,True,353 SHEPHERD AVENUE,bbl_block,3039890001,False
322106957,Demolition,5. Completed Construction,3429466,3039890001,3,355,SHEPHERD AVENUE,2022.0,2022.0,1.0,0,-1.0,,2022-07-14,2022-10-31,2022-10-31,D1,PROPOSE FULL DEMOLITION OF ONE-STORY RESIDENTIAL BUILDING USING NON-MECHANICAL MEANS.,40.675756,-73.880915,True,355 SHEPHERD AVENUE,bbl_block,3039890001,False
