bbl,address,bldgclass,landuse,yearbuilt,unitsres,unitstotal,numbldgs,assesstot,latitude,longitude,source
3039560013,16 FOLSOM PLACE,B2,1,1901,2,2,1,61800.0,40.679167,-73.8828521,on a listed block
3039560054,178 ESSEX STREET,B2,1,1901,2,2,1,74940.0,40.6799961,-73.8829949,on a listed block
3039560064,198 ESSEX STREET,B2,1,1901,2,2,1,61500.0,40.6795321,-73.8828839,on a listed block
3039560005,2 FOLSOM PLACE,G7,10,0,0,0,0,63900.0,40.6790852,-73.8833606,on a listed block
3039560010,12 FOLSOM PLACE,A2,1,1901,1,1,1,28980.0,40.6791205,-73.8829748,on a listed block
3039580003,213 SHEPHERD AVENUE,B1,1,1920,2,2,2,58440.0,40.6795525,-73.8814021,on a listed block
3039580046,230 HIGHLAND PLACE,C2,2,1905,6,6,1,315450.0,40.6795741,-73.8810235,on a listed block
3039580044,224 HIGHLAND PLACE,C0,2,1901,3,3,1,55440.0,40.6797059,-73.8810557,on a listed block
3039580009,199 SHEPHERD AVENUE,B1,1,1901,2,2,2,60900.0,40.6799259,-73.8814952,on a listed block
3039580027,3080 FULTON STREET,S2,4,1920,2,3,1,45420.0,40.6807876,-73.881335,on a listed block
3039580012,187 SHEPHERD AVENUE,A1,1,1901,1,1,2,44940.0,40.6801318,-73.8815453,on a listed block
3039580017,175 SHEPHERD AVENUE,M9,8,1930,0,1,1,92700.0,40.6804668,-73.8816276,on a listed block
3039580026,3076 FULTON STREET,S2,4,1901,2,3,1,90060.0,40.680774,-73.8814035,on a listed block
3039580028,3082 FULTON STREET,S2,4,1920,2,3,1,51060.0,40.680804,-73.8812629,on a listed block
3039580029,3084 FULTON STREET,C2,2,1927,6,6,1,282150.0,40.6808231,-73.8811835,on a listed block
3039580132,188 HIGHLAND PLACE,B9,1,2005,2,2,1,45240.0,40.6805433,-73.8812597,on a listed block
3039580137,198 HIGHLAND PLACE,B9,1,2005,2,2,1,45240.0,40.6802797,-73.8811953,on a listed block
3039580139,202 HIGHLAND PLACE,B9,1,2005,2,2,1,45240.0,40.6801781,-73.8811702,on a listed block
3039580020,3062 FULTON STREET,O5,5,2008,0,2,1,700200.0,40.6806617,-73.8816597,on a listed block
3039580039,210 HIGHLAND PLACE,C2,2,1905,5,5,1,275850.0,40.6800491,-73.881138,on a listed block
3039580131,186 HIGHLAND PLACE,B9,1,2005,2,2,1,45180.0,40.6805954,-73.8812741,on a listed block
3039580135,194 HIGHLAND PLACE,B9,1,2005,2,2,1,45240.0,40.6803868,-73.8812203,on a listed block
3039580008,201 SHEPHERD AVENUE,B1,1,1901,2,2,2,58980.0,40.67986,-73.8814773,on a listed block
3039580013,185 SHEPHERD AVENUE,C0,2,1901,3,3,1,51120.0,40.6802005,-73.8815596,on a listed block
3039580016,179 SHEPHERD AVENUE,A1,1,1910,1,1,1,34920.0,40.6803981,-73.8816097,on a listed block
3039580018,173 SHEPHERD AVENUE,B3,1,1901,2,2,1,48840.0,40.6805163,-73.8817465,on a listed block
3039580025,3074 FULTON STREET,S2,4,1920,2,3,1,49200.0,40.6807576,-73.8814721,on a listed block
3039580030,184 HIGHLAND PLACE,C0,2,1901,3,3,1,58980.0,40.6806531,-73.8812884,on a listed block
3039580040,212 HIGHLAND PLACE,C3,2,1905,4,4,1,304200.0,40.6799832,-73.8811237,on a listed block
3039580041,214 HIGHLAND PLACE,B1,1,1901,2,2,1,59340.0,40.67992,-73.8811058,on a listed block
3039580136,196 HIGHLAND PLACE,B9,1,2005,2,2,1,45240.0,40.6803319,-73.8812096,on a listed block
3039580133,190 HIGHLAND PLACE,B9,1,2005,2,2,1,45240.0,40.6804911,-73.881249,on a listed block
3039580143,222 HIGHLAND PLACE,B1,1,1901,2,2,1,55320.0,40.6797608,-73.8810664,on a listed block
3039580010,197 SHEPHERD AVENUE,B1,1,1910,2,2,2,54720.0,40.6800001,-73.8815131,on a listed block
3039580134,192 HIGHLAND PLACE,B9,1,2005,2,2,1,45240.0,40.6804389,-73.8812347,on a listed block
3039580002,219 SHEPHERD AVENUE,B1,1,1950,2,2,2,52860.0,40.6794564,-73.881377,on a listed block
3039580005,207 SHEPHERD AVENUE,B1,1,1920,2,2,2,45780.0,40.6796541,-73.8814272,on a listed block
3039580006,205 SHEPHERD AVENUE,B1,1,1901,2,2,2,58920.0,40.6797283,-73.8814451,on a listed block
3039580007,203 SHEPHERD AVENUE,B1,1,1901,2,2,2,58980.0,40.6797941,-73.881463,on a listed block
3039580011,193 SHEPHERD AVENUE,B1,1,1901,2,2,1,61920.0,40.6800659,-73.8815274,on a listed block
3039580014,183 SHEPHERD AVENUE,A2,1,1910,1,1,1,26880.0,40.6802664,-73.8815775,on a listed block
3039580015,181 SHEPHERD AVENUE,A1,1,1910,1,1,1,46920.0,40.6803323,-73.8815954,on a listed block
3039580038,206 HIGHLAND PLACE,C2,2,1905,5,5,1,275850.0,40.6801177,-73.8811559,on a listed block
3039580042,216 HIGHLAND PLACE,B1,1,1901,2,2,1,55320.0,40.6798651,-73.8810951,on a listed block
3039580043,218 HIGHLAND PLACE,B1,1,1901,2,2,1,55320.0,40.679813,-73.8810808,on a listed block
3039580045,228 HIGHLAND PLACE,B2,1,1901,2,2,1,49320.0,40.6796455,-73.8810378,on a listed block
3039580047,234 HIGHLAND PLACE,C0,2,1901,3,3,1,69660.0,40.6795055,-73.8810056,on a listed block
3039580049,3101 ATLANTIC AVENUE,K5,5,1957,0,1,1,480150.0,40.6792888,-73.881143,on a listed block
3039580138,200 HIGHLAND PLACE,B9,1,2005,2,2,1,45240.0,40.6802275,-73.8811846,on a listed block
3039580001,223 SHEPHERD AVENUE,A2,1,1910,1,1,1,26880.0,40.6793878,-73.8813627,on a listed block
3039600127,3126 FULTON STREET,C0,2,1900,3,3,2,55200.0,40.6813265,-73.8795277,on a listed block
3039600017,169 HALE AVENUE,B1,1,1901,2,2,1,59580.0,40.6809343,-73.8798169,on a listed block
3039600027,3124 FULTON STREET,C0,2,1900,3,3,2,70140.0,40.6813128,-73.8795999,on a listed block
3039600011,183 HALE AVENUE,B1,1,1901,2,2,1,59700.0,40.6806103,-73.8797345,on a listed block
3039600010,185 HALE AVENUE,B1,1,1901,2,2,1,61920.0,40.6805554,-73.8797202,on a listed block
3039600021,3118 FULTON STREET,K1,5,1930,0,1,1,837000.0,40.681217,-73.8798812,on a listed block
3039600036,210 NORWOOD AVENUE,B2,1,1910,2,2,1,52980.0,40.6809612,-73.8793481,on a listed block
3039600038,214 NORWOOD AVENUE,B2,1,1901,2,2,2,53220.0,40.6808267,-73.8793123,on a listed block
3039600039,216 NORWOOD AVENUE,B1,1,1901,2,2,1,42120.0,40.6807663,-73.879298,on a listed block
3039600040,218 NORWOOD AVENUE,C0,2,1901,3,3,1,43080.0,40.6807169,-73.8792873,on a listed block
3039600041,222 NORWOOD AVENUE,B2,1,1901,2,2,1,49620.0,40.6806675,-73.8792729,on a listed block
3039600050,242 NORWOOD AVENUE,B1,1,1975,2,2,2,68520.0,40.680187,-73.8791548,on a listed block
3039600058,3161 ATLANTIC AVENUE,K5,5,2014,0,1,1,650700.0,40.6799207,-73.8790976,on a listed block
3039600069,225 HALE AVENUE,B1,1,1901,2,2,1,60840.0,40.6796796,-73.8795523,on a listed block
3039600072,219 HALE AVENUE,B1,1,1901,2,2,1,56820.0,40.6798471,-73.8795917,on a listed block
3039600019,165 HALE AVENUE,B1,1,1901,2,2,1,58440.0,40.6810413,-73.8798419,on a listed block
3039600037,212 NORWOOD AVENUE,B3,1,1901,2,2,2,69960.0,40.6808926,-73.8793302,on a listed block
3039600034,206 NORWOOD AVENUE,B2,1,1901,2,2,1,54900.0,40.6811121,-73.8792974,on a listed block
3039600035,208 NORWOOD AVENUE,B2,1,1910,2,2,3,53040.0,40.6810409,-73.8794056,on a listed block
3039600018,167 HALE AVENUE,B1,1,1901,2,2,1,59580.0,40.6809864,-73.8798276,on a listed block
3039600003,209 HALE AVENUE,B1,1,1940,2,2,1,59040.0,40.6800887,-73.8796057,on a listed block
3039600008,201 HALE AVENUE,C3,2,1910,4,4,1,271800.0,40.680333,-73.8796665,on a listed block
3039600013,179 HALE AVENUE,B1,1,1901,2,2,1,59580.0,40.6807174,-73.8797632,on a listed block
3039600014,177 HALE AVENUE,B1,1,1901,2,2,1,59580.0,40.6807723,-73.8797739,on a listed block
