bin,base_bbl,address,construction_year,yearbuilt,bldgclass,landuse,is_apartment,res_units,unitstotal,numbldgs,assesstot,dob_is_apartment,dob_dwelling_units,dob_first_filed,dob_nb_filed,dob_nb_signoff,n_dob_filings,has_dob_record,the_geom_wkt
2008282,2028550042,1280 INWOOD AVENUE,1920.0,1920.0,G1,10,False,0.0,2.0,1.0,300150.0,False,,2000-03-23,,,10.0,True,"MULTIPOLYGON (((-73.920417 40.83795, -73.920622 40.837815, -73.920684 40.837869, -73.920779 40.837952, -73.920858 40.838022, -73.920653 40.838157, -73.920617 40.838125, -73.92052 40.83804, -73.920417 40.83795)))"
2008283,2028550045,1275 JEROME AVENUE,1920.0,1920.0,G2,7,False,0.0,2.0,1.0,259650.0,False,0.0,2009-07-31,,,3.0,True,"MULTIPOLYGON (((-73.91991 40.837923, -73.920062 40.837823, -73.920182 40.837744, -73.920279 40.837829, -73.920405 40.837939, -73.920417 40.83795, -73.92052 40.83804, -73.920617 40.838125, -73.920653 40.838157, -73.920502 40.838256, -73.920381 40.838336, -73.920304 40.838269, -73.920192 40.83817, -73.920071 40.838064, -73.919949 40.837957, -73.91991 40.837923)))"
2008284,2028550051,1298 INWOOD AVENUE,1926.0,2025.0,D7,4,True,195.0,196.0,1.0,7053750.0,False,,2000-11-13,,,1.0,True,"MULTIPOLYGON (((-73.919635 40.838104, -73.91991 40.837923, -73.919949 40.837957, -73.920071 40.838064, -73.920192 40.83817, -73.920304 40.838269, -73.920381 40.838336, -73.920106 40.838517, -73.92006 40.838477, -73.919975 40.838403, -73.919859 40.838301, -73.919744 40.838201, -73.919635 40.838104)))"
2008285,2028550053,1304 INWOOD AVENUE,1920.0,1920.0,K4,4,False,0.0,2.0,1.0,810450.0,False,,2019-05-16,,,1.0,True,"MULTIPOLYGON (((-73.919635 40.838104, -73.919744 40.838201, -73.919859 40.838301, -73.919975 40.838403, -73.92006 40.838477, -73.920106 40.838517, -73.919975 40.838603, -73.919973 40.838604, -73.919937 40.838572, -73.919881 40.838523, -73.919856 40.838501, -73.919758 40.838416, -73.91965 40.838321, -73.919541 40.838226, -73.919502 40.838192, -73.919621 40.838114, -73.919635 40.838104)))"
2008286,2028550065,1271 JEROME AVENUE,1920.0,1920.0,G2,7,False,0.0,4.0,1.0,323100.0,True,4.0,2006-02-17,,,4.0,True,"MULTIPOLYGON (((-73.920182 40.837744, -73.920361 40.837626, -73.920388 40.837609, -73.920497 40.837705, -73.920622 40.837815, -73.920417 40.83795, -73.920405 40.837939, -73.920279 40.837829, -73.920182 40.837744)))"
2008287,2028560011,1342 INWOOD AVENUE,1990.0,1990.0,F5,6,False,0.0,1.0,1.0,1755000.0,False,1.0,2012-05-23,,,9.0,True,"MULTIPOLYGON (((-73.918983 40.839735, -73.918949 40.839725, -73.918949 40.839725, -73.918934 40.839721, -73.918961 40.839668, -73.918979 40.839673, -73.919016 40.839599, -73.919009 40.839597, -73.919054 40.839507, -73.919106 40.839402, -73.919124 40.839366, -73.919194 40.839226, -73.919202 40.839211, -73.919253 40.839226, -73.919329 40.839248, -73.919417 40.839273, -73.919506 40.839299, -73.919579 40.83932, -73.91941 40.839658, -73.919323 40.839833, -73.919255 40.839814, -73.919193 40.839796, -73.919132 40.839778, -73.919071 40.839761, -73.91901 40.839743, -73.918983 40.839735)))"
2008288,2028560019,1364 INWOOD AVENUE,1909.0,1909.0,E9,6,False,0.0,1.0,1.0,95400.0,False,,2012-03-22,,,3.0,True,"MULTIPOLYGON (((-73.91895 40.8398, -73.918983 40.839735, -73.91901 40.839743, -73.919071 40.839761, -73.919132 40.839778, -73.919193 40.839796, -73.919255 40.839814, -73.919323 40.839833, -73.91929 40.839898, -73.919284 40.839897, -73.919136 40.839854, -73.919073 40.839836, -73.919012 40.839818, -73.918951 40.839801, -73.91895 40.8398)))"
2008289,2028560020,1363 JEROME AVENUE,1966.0,1966.0,O2,5,False,0.0,3.0,1.0,3879900.0,False,2.0,2000-05-04,,,26.0,True,"MULTIPOLYGON (((-73.918934 40.839721, -73.918949 40.839725, -73.918948 40.839726, -73.918916 40.839791, -73.91895 40.8398, -73.918951 40.839801, -73.919012 40.839818, -73.919073 40.839836, -73.919136 40.839854, -73.919284 40.839897, -73.91929 40.839898, -73.919287 40.839904, -73.919194 40.84009, -73.919178 40.840085, -73.919162 40.840081, -73.918985 40.84003, -73.918856 40.839993, -73.918793 40.840119, -73.918757 40.840109, -73.918714 40.840096, -73.91867 40.840084, -73.918627 40.840071, -73.918584 40.840059, -73.918538 40.840045, -73.918493 40.840033, -73.918449 40.84002, -73.918406 40.840007, -73.918375 40.839999, -73.918478 40.839793, -73.918566 40.839615, -73.918586 40.839621, -73.918686 40.83965, -73.918792 40.83968, -73.918888 40.839708, -73.918934 40.839721)))"
2008291,2028560023,1376 INWOOD AVENUE,1920.0,0.0,V0,11,False,0.0,0.0,2.0,18240.0,True,,2019-02-13,,,2.0,True,"MULTIPOLYGON (((-73.919047 40.84012, -73.919131 40.840144, -73.919135 40.840156, -73.919125 40.840176, -73.919117 40.84018, -73.919112 40.840182, -73.919099 40.840208, -73.919015 40.840184, -73.918921 40.840156, -73.918947 40.840105, -73.919041 40.840132, -73.919047 40.84012)))"
2008292,2028560029,14 WEST 170 STREET,1972.0,1972.0,P9,8,False,0.0,1.0,1.0,3859200.0,False,1.0,2001-09-04,,,7.0,True,"MULTIPOLYGON (((-73.918236 40.840266, -73.918354 40.840031, -73.918357 40.840032, -73.918387 40.840041, -73.918439 40.840056, -73.918497 40.840073, -73.918556 40.84009, -73.918616 40.840107, -73.918623 40.840109, -73.918619 40.840118, -73.918616 40.840122, -73.91862 40.840123, -73.918683 40.840141, -73.918743 40.840159, -73.918792 40.840173, -73.91878 40.840197, -73.918891 40.840229, -73.919085 40.840285, -73.919092 40.840287, -73.91903 40.840411, -73.918974 40.840523, -73.918959 40.840518, -73.918857 40.840489, -73.918761 40.840461, -73.918664 40.840433, -73.91857 40.840406, -73.918515 40.84039, -73.918534 40.840352, -73.918465 40.840332, -73.918404 40.840314, -73.918331 40.840293, -73.918239 40.840267, -73.918236 40.840266)))"
