Job_Number,Job_Type,Job_Status,BIN,BBL,Boro,AddressNum,AddressSt,CompltYear,PermitYear,ClassAInit,ClassAProp,ClassANet,Units_CO,DateFiled,DatePermit,DateComplt,Bldg_Class,Job_Desc,Latitude,Longitude,hdb_completed,hdb_address,scope_via,pluto_current_bbl,bbl_sunsetted
220739137,Demolition,5. Completed Construction,2003100,2025060125,2,76,WEST 170 STREET,2022.0,2022.0,2.0,0,-2.0,,2021-12-03,2022-04-08,2022-04-08,D7,,40.840095,-73.92185,True,76 WEST 170 STREET,bbl_block,2025060125,False
220739146,Demolition,5. Completed Construction,2129796,2025060125,2,78,WEST 170 STREET,2022.0,2022.0,2.0,0,-2.0,,2021-12-02,2022-04-06,2022-04-06,D7,,40.84009780501192,-73.92185815309105,True,78 WEST 170 STREET,bbl_block,2025060125,False
220739565,Demolition,5. Completed Construction,2130883,2025060082,2,1262,SHAKESPEARE AVENUE,2022.0,2022.0,1.0,0,-1.0,,2021-11-22,2022-04-12,2022-04-12,V0,FULL DEMOLITION TO A ONE STORY BUILDING,40.838693,-73.922607,True,1262 SHAKESPEARE AVENUE,bbl_block,2025060082,False
220739805,Demolition,5. Completed Construction,2130883,2025060082,2,1258,SHAKESPEARE AVENUE,2022.0,2022.0,2.0,0,-2.0,,2022-02-11,2022-06-01,2022-06-01,D1,FULL DEMOLITION TO A TWO STORY HOUSE,40.838693,-73.922607,True,1258 SHAKESPEARE AVENUE,bbl_block,2025060082,False
220739878,Demolition,5. Completed Construction,2008659,2028720070,2,1440,JESUP AVENUE,2022.0,2022.0,1.0,0,-1.0,,2021-12-23,2022-05-11,2022-05-11,V0,FULL DEMOLITION TO A TWO STORY HOUSE,40.841798,-73.920008,True,1440 JESUP AVENUE,bbl_block,2028720070,False
220739887,Demolition,5. Completed Construction,2008659,2028720070,2,1438,JESUP AVENUE,2022.0,2022.0,2.0,0,-2.0,,2021-12-23,2022-05-11,2022-05-11,V0,FULL DEMOLITION TO A TWO STORY HOUSE,40.841798,-73.920008,True,1438 JESUP AVENUE,bbl_block,2028720070,False
220739896,Demolition,5. Completed Construction,2131166,2028720071,2,1436,JESUP AVENUE,2022.0,2022.0,1.0,0,-1.0,,2022-05-19,2022-05-31,2022-05-31,D1,FULL DEMOLITION TO A THREE STORY HOUSE,40.841886,-73.919878,True,1436 JESUP AVENUE,bbl_block,2028720071,False
220740474,Demolition,5. Completed Construction,2008159,2028480024,2,1677,TOWNSEND AVENUE,2021.0,2021.0,3.0,0,-3.0,,2021-08-16,2021-12-28,2021-12-28,D1,FULL DEMOLITION OF TWO STORY STRUCTURE TO MAKE PLACE FOR NEW CONSTRUCTION,40.84595327256616,-73.91278690470804,True,1677 TOWNSEND AVENUE,bbl_block,2028480024,False
240296657,New Building,5. Completed Construction,2129747,2025060054,2,1245,EDWARD L GRANT HIGHWAY,2023.0,2022.0,0.0,110,110.0,110.0,2020-12-07,2022-02-08,2023-10-18,D1,,40.836977366823305,-73.9226927820206,True,1245 EDWARD L GRANT HIGHWAY,bbl_block,2025060054,False
220620601,New Building,5. Completed Construction,2128894,2031960066,2,27,BUCHANAN PLACE,2020.0,2018.0,0.0,25,25.0,25.0,2017-11-08,2018-07-11,2020-08-03,D7,,40.85826589735064,-73.90535294584095,True,27 BUCHANAN PLACE,bbl_block,2031960066,False
220673162,New Building,5. Completed Construction,2129190,2028650122,2,29,FEATHERBED LANE,2025.0,2021.0,0.0,160,160.0,160.0,2018-11-14,2021-10-27,2025-06-26,D1,,40.8460842422866,-73.91498265665241,True,29 FEATHERBED LANE,bbl_block,2028650122,False
220628523,Demolition,5. Completed Construction,2129185,2028490063,2,1728,TOWNSEND AVENUE,2018.0,2018.0,1.0,0,-1.0,,2017-12-28,2018-10-26,2018-10-26,D1,FULL DEMOLITION OF A 2 STORY FRAME HOUSE,40.846924,-73.911429,True,1728 TOWNSEND AVENUE,bbl_block,2028490063,False
220633223,Alteration,5. Completed Construction,2014083,2031870007,2,2314,JEROME AVENUE,2022.0,2021.0,0.0,0,0.0,20.0,2020-05-20,2021-04-09,2022-06-24,D1,,40.859106098936216,-73.90307122811676,True,2314 JEROME AVENUE,bbl_block,2031870007,False
220635034,New Building,5. Completed Construction,2129185,2028490063,2,1728,TOWNSEND AVENUE,2021.0,2019.0,0.0,22,22.0,22.0,2018-03-26,2019-04-30,2021-06-14,D1,,40.846924,-73.911429,True,1728 TOWNSEND AVENUE,bbl_block,2028490063,False
