bin,base_bbl,input_list,resolution,last_status_type,address,construction_year,yearbuilt,bldgclass,landuse,is_apartment,res_units,unitstotal,numbldgs,assesstot,dob_is_apartment,dob_dwelling_units,dob_nb_filed,dob_nb_signoff,n_dob_filings,has_dob_record,the_geom_wkt
3038821,3014440024,unverified,block_expanded,Constructed,2424 PACIFIC STREET,1927.0,1927.0,G1,10,False,0.0,1.0,1.0,47250.0,False,,,,,False,"MULTIPOLYGON (((-73.905006 40.675116, -73.90501 40.675084, -73.905082 40.675088, -73.905079 40.675113, -73.905078 40.67512, -73.905066 40.675119, -73.905006 40.675116)))"
3038822,3014440027,unverified,block_expanded,Constructed,1725 EAST NEW YORK AVENUE,1921.0,1921.0,K4,4,False,1.0,2.0,1.0,130050.0,False,1.0,,,1.0,True,"MULTIPOLYGON (((-73.90484 40.675013, -73.90489 40.675081, -73.904892 40.675109, -73.904824 40.675107, -73.904772 40.675039, -73.90484 40.675013)))"
3038823,3014440029,unverified,block_expanded,Constructed,1723 EAST NEW YORK AVENUE,1901.0,1901.0,S1,4,False,1.0,2.0,1.0,32220.0,False,1.0,,,2.0,True,"MULTIPOLYGON (((-73.904892 40.675109, -73.90489 40.675081, -73.90484 40.675013, -73.904901 40.674982, -73.904958 40.67505, -73.904951 40.675112, -73.904892 40.675109)))"
3038824,3014440030,unverified,block_expanded,Constructed,1721 EAST NEW YORK AVENUE,1901.0,1901.0,B2,1,False,2.0,2.0,1.0,68100.0,False,,,,,False,"MULTIPOLYGON (((-73.904951 40.675112, -73.904958 40.67505, -73.904901 40.674982, -73.904966 40.674956, -73.905015 40.675032, -73.90501 40.675084, -73.905006 40.675116, -73.904951 40.675112)))"
3038825,3014440031,unverified,block_expanded,Constructed,1719 EAST NEW YORK AVENUE,1901.0,1901.0,C0,2,True,3.0,3.0,1.0,77160.0,False,,,,,False,"MULTIPOLYGON (((-73.905015 40.675032, -73.904966 40.674956, -73.905022 40.674935, -73.905033 40.674951, -73.905038 40.674949, -73.905087 40.675024, -73.905025 40.675047, -73.905015 40.675032)))"
3038827,3014440034,unverified,block_expanded,Constructed,1713 EAST NEW YORK AVENUE,1901.0,1901.0,C0,2,True,3.0,3.0,1.0,81060.0,True,3.0,,,3.0,True,"MULTIPOLYGON (((-73.905186 40.674853, -73.905264 40.674956, -73.905269 40.674963, -73.905246 40.674974, -73.905233 40.674957, -73.905202 40.67497, -73.905131 40.674877, -73.905186 40.674853)))"
3038828,3014440035,unverified,block_expanded,Constructed,1709 EAST NEW YORK AVENUE,1901.0,1901.0,B2,1,False,2.0,2.0,1.0,61200.0,False,,,,,False,"MULTIPOLYGON (((-73.905264 40.674956, -73.905186 40.674853, -73.905242 40.674828, -73.905348 40.674968, -73.905322 40.67498, -73.905294 40.674943, -73.905264 40.674956)))"
3038829,3014440036,unverified,block_expanded,Constructed,1707 EAST NEW YORK AVENUE,1901.0,1901.0,S1,4,False,1.0,2.0,1.0,45420.0,False,2.0,,,2.0,True,"MULTIPOLYGON (((-73.905242 40.674828, -73.905299 40.674803, -73.905377 40.674905, -73.905368 40.674909, -73.905397 40.674946, -73.905348 40.674968, -73.905242 40.674828)))"
3038830,3014440037,unverified,block_expanded,Constructed,1705 EAST NEW YORK AVENUE,1901.0,1901.0,A5,1,False,1.0,1.0,1.0,66180.0,False,,,,,False,"MULTIPOLYGON (((-73.905299 40.674803, -73.905338 40.674786, -73.905353 40.674779, -73.905431 40.674881, -73.905377 40.674905, -73.905299 40.674803)))"
3038831,3014440038,unverified,block_expanded,Constructed,1703 EAST NEW YORK AVENUE,1901.0,1901.0,B2,1,False,2.0,2.0,1.0,59700.0,False,,,,,False,"MULTIPOLYGON (((-73.905353 40.674779, -73.905413 40.674753, -73.905481 40.674843, -73.90549 40.674855, -73.905431 40.674881, -73.905353 40.674779)))"
3038832,3014440039,unverified,block_expanded,Constructed,1701 EAST NEW YORK AVENUE,1927.0,1927.0,S9,4,False,2.0,4.0,1.0,248850.0,True,10.0,2019-09-06,,3.0,True,"MULTIPOLYGON (((-73.905481 40.674843, -73.905413 40.674753, -73.905525 40.674704, -73.905527 40.674706, -73.905529 40.674709, -73.905593 40.674793, -73.905567 40.674805, -73.905615 40.674868, -73.905564 40.67489, -73.905516 40.674827, -73.905481 40.674843)))"
