bbl,address,bldgclass,landuse,yearbuilt,unitsres,unitstotal,numbldgs,assesstot,latitude,longitude,source
2025060164,1343 EDWARD L GRANT HWY,S1,4,1910,1,2,1,41880.0,40.8399596,-73.9216657,on a listed block
2025060147,1307 EDWARD L GRANT HWY,D7,4,1929,60,65,1,1306350.0,40.8392379,-73.9218328,on a listed block
2028650173,34 WEST 174 STREET,G7,10,0,0,0,0,121500.0,40.8464819,-73.9150979,on a listed block
2028650176,28 WEST 174 STREET,B1,1,1920,2,2,1,65760.0,40.8463939,-73.9148739,on a listed block
2028650122,29 FEATHERBED LANE,D1,3,2022,160,160,1,8281350.0,40.8461168,-73.914961,on a listed block
2028650162,1616 GRAND AVENUE,I7,8,1998,44,44,1,1881000.0,40.8464248,-73.9158136,on a listed block
2028650178,24 WEST 174 STREET,C1,2,1927,9,9,1,483750.0,40.8463279,-73.914715,on a listed block
2028650126,37 FEATHERBED LANE,D1,3,1929,42,42,1,638100.0,40.8462378,-73.9153765,on a listed block
2028650134,1600 MACOMBS ROAD,V0,11,0,0,0,0,121380.0,40.8458077,-73.916465,on a listed block
2028620003,43 WEST 177 STREET,C0,2,1920,3,3,1,49440.0,40.8505526,-73.9118431,on a listed block
2028620006,74 WEST TREMONT AVENUE,D7,4,2015,34,35,1,1569600.0,40.8508545,-73.9118427,on a listed block
2028620001,35 WEST 177 STREET,C5,2,1915,12,12,1,152550.0,40.8503331,-73.9119663,on a listed block
2028620002,37 WEST 177 STREET,C5,2,1915,13,13,1,122850.0,40.8504291,-73.9118939,on a listed block
2028620008,62 WEST TREMONT AVENUE,C1,2,1926,90,90,1,2723400.0,40.8511069,-73.911687,on a listed block
2028650175,30 WEST 174 STREET,B1,1,1920,2,2,1,78840.0,40.8464352,-73.9149751,on a listed block
2028650103,54 FEATHERBED LANE,D1,3,1927,68,68,1,1655550.0,40.8455301,-73.9158617,on a listed block
2028650110,40 FEATHERBED LANE,D7,4,1927,59,61,1,1711350.0,40.8457357,-73.9155326,on a listed block
2028650166,1630 GRAND AVENUE,D1,3,1941,67,67,1,1191150.0,40.8465206,-73.9154087,on a listed block
2028650160,GRAND AVENUE,D1,3,2022,326,326,1,18306900.0,40.8461673,-73.9164537,on a listed block
2028650177,26 WEST 174 STREET,C1,2,1920,10,10,1,444150.0,40.8463609,-73.914798,on a listed block
2028650179,1665 DAVIDSON AVENUE,C1,2,1920,10,10,1,325350.0,40.8462977,-73.9146355,on a listed block
2028650129,47 FEATHERBED LANE,D1,3,1932,55,55,1,1311300.0,40.846164,-73.915785,on a listed block
2028620058,1903 DAVIDSON AVENUE,C3,2,1908,4,4,1,408150.0,40.8502918,-73.9117567,on a listed block
2028620005,45 WEST 177 STREET,I1,8,1915,12,12,1,232200.0,40.8507255,-73.9118465,on a listed block
2024890030,11 EAST 167 STREET,K1,5,1932,0,2,1,292050.0,40.8360621,-73.9215582,on a listed block
2024890001,1210 JEROME AVENUE,K2,5,1937,0,8,1,1021500.0,40.8361583,-73.9217822,on a listed block
2024890071,59 EAST 167 STREET,K4,4,1950,0,4,1,2180700.0,40.835721,-73.9204781,on a listed block
2024890033,41 EAST 167 STREET,K1,5,1931,0,8,1,968850.0,40.8358283,-73.9208719,on a listed block
2024890054,1265 GERARD AVENUE,D7,4,1927,54,58,1,1022850.0,40.8367032,-73.9199096,on a listed block
2024890029,15 EAST 167 STREET,K1,5,1931,0,1,1,266400.0,40.8360291,-73.9214679,on a listed block
