Job_Number,Job_Type,Job_Status,BIN,BBL,Boro,AddressNum,AddressSt,CompltYear,PermitYear,ClassAInit,ClassAProp,ClassANet,Units_CO,DateFiled,DatePermit,DateComplt,Bldg_Class,Job_Desc,Latitude,Longitude,CommntyDst,CouncilDst,NTA2020,NTAName20,hdb_completed,hdb_address,excluded_via
X00908433,New Building,3. Permitted for Construction,2094542,2028560001,2,1320,INWOOD AVENUE,,2025.0,0.0,210,210.0,,2023-08-11,2025-08-19,,Other,Construct new 14 story mixed use building as per plans filed.,40.8388875191858,-73.91958343105748,204,16,BX0403,Mount Eden-Claremont (West),False,1320 INWOOD AVENUE,bbl
X00984772,Alteration,5. Completed Construction,2008203,2028490083,2,59,CLIFFORD PLACE,2025.0,2024.0,2.0,10,8.0,10.0,2024-01-05,2024-02-29,2025-03-05,Other,Existing 2 story and basement 2-Family to be converted into a 10-unit building,40.84618168075769,-73.91169662781236,205,14,BX0502,Mount Hope,True,59 CLIFFORD PLACE,bbl_block
X00985124,Alteration,1. Filed Application,2014207,2031960029,2,2232,DAVIDSON AVENUE,,,65.0,67,2.0,,2024-02-19,,,Other,THIS APPLICATION IS BEING FILED FOR GENERAL CONSTRUCTION TO RENOVATE EXISTING RESIDENTIAL APARTMENTS TO CREATE ADDITIONAL DWELLING UNITS OBTAIN NEW CERTIFICATE OF OCCUPANCY AND RESTORATION OF SUPERS' APARTMENT AT CELLAR TO ORIGINAL LEGAL CONDITION.,40.857768569603536,-73.90511378060852,205,14,BX0503,Fordham Heights,False,2232 DAVIDSON AVENUE,bbl_block
X01002892,Alteration,5. Completed Construction,2003110,2025060148,2,67,WEST 169 STREET,2025.0,2024.0,4.0,8,4.0,8.0,2024-02-13,2024-10-11,2025-06-16,Other,ALT1 TO CONVERT EXTG. 4 APTS TO 8 APTS  INTERIOR DEMOLITION  NEW PARTITIONS  NEW KITCHEN BATHROOM NEW LIGHTING AND ELECTRICAL WORK FOR THE NEW APT AS PER PLANS OBTAIN NEW C/O.,40.83922680677452,-73.9220914668734,204,16,BX0402,Highbridge,True,67 WEST 169 STREET,bbl_block
X01038101,Alteration,2. Approved Application,2014042,2031850007,2,6,CAMERON PLACE,,,3.0,9,6.0,,2024-04-19,,,Other,Existing 2 story and basement 2-Family to be converted into a 9-unit building,40.855886528718216,-73.90478878215731,205,14,BX0503,Fordham Heights,False,6 CAMERON PLACE,bbl_block
X01061167,Alteration,5. Completed Construction,2129668,2028720148,2,1544,SHAKESPEARE AVENUE,2025.0,2024.0,116.0,116,0.0,116.0,2024-06-21,2024-09-26,2025-12-10,Other,ALTCO FILED FOR CONVERSION OF AN EXISTING VACANT 'M' SPACE INTO AN AMBULATORY FACILITY AS PER PLANS FILED HEREWITH.,40.84577141884002,-73.91897249098476,205,14,BX0501,University Heights (South)-Morris Heights,True,1544 SHAKESPEARE AVENUE,bbl_block
X01064656,Alteration,5. Completed Construction,2128894,2031960066,2,27,BUCHANAN PLACE,2025.0,2024.0,25.0,25,0.0,25.0,2024-06-28,2024-09-27,2025-02-28,Other,change existing ambulatory diagnostic or treatment healthcare facilities to school - day care center.  provide new stair and door.,40.85826589735064,-73.90535294584095,205,14,BX0501,University Heights (South)-Morris Heights,True,27 BUCHANAN PLACE,bbl_block
X01153979,Alteration,1. Filed Application,2008652,2028720033,2,1411,JESUP AVENUE,,,2.0,10,8.0,,2025-03-18,,,Other,Proposed alteration to existing building to propose a total of 10 dwelling units.,40.84146471068687,-73.92087664247686,204,16,BX0403,Mount Eden-Claremont (West),False,1411 JESUP AVENUE,bbl_block
X01023907,New Building,3. Permitted for Construction,2131032,2024890035,2,1240,RIVER AVENUE,,2025.0,0.0,328,328.0,,2024-05-17,2025-11-21,,Other,New 17-story mixed-use building,40.8364,-73.9209,204,16,BX0401,Concourse-Concourse Village,False,1240 RIVER AVENUE,bbl_block
X01056031,Alteration,2. Approved Application,2014075,2031860078,2,2243,WALTON AVENUE,,,2.0,10,8.0,,2024-05-28,,,Other,Existing 2-Story and basement 2-Family  to be converted to a 10-Family Dwelling,40.857387985287474,-73.90364397471009,205,14,BX0503,Fordham Heights,False,2243 WALTON AVENUE,bbl_block
X01059040,New Building,1. Filed Application,2115197,2028590051,2,1545,JEROME AVENUE,,,0.0,213,213.0,,2025-01-07,,,Other,Propose an 11-story mix-used building consisting of affordable housing use groups II (MIH) IIIA (Supportive Housing) and VI (Retail),40.84372746904938,-73.91574542891432,204,16,BX0403,Mount Eden-Claremont (West),False,1545 JEROME AVENUE,bbl
X01114743,Alteration,5. Completed Construction,2008441,2028650177,2,26,WEST 174 STREET,2025.0,2024.0,2.0,10,8.0,10.0,2024-09-23,2024-11-19,2025-04-09,Other,PROPOSED CONVERSION OF AN EXISTING TWO STORY AND CELLAR TWO FAMILY TO A TOTAL OF TEN RESIDENTIAL UNITS,40.84639780552215,-73.91477430709978,205,14,BX0501,University Heights (South)-Morris Heights,True,26 WEST 174 STREET,bbl_block
X01116367,Alteration,3. Permitted for Construction,2014194,2031950051,2,2170,DAVIDSON AVENUE,,2025.0,31.0,34,3.0,,2024-11-20,2025-04-11,,Other,THIS APPLICATION IS BEING FILED FOR GENERAL CONSTRUCTION AND STRUCTURAL WORK TO RENOVATE EXISTING RESIDENTIAL APARTMENTS TO CREATE ADDITIONAL DWELLING UNITS AND OBTAIN A NEW CERTIFICATE OF OCCUPANCY,40.85687627214829,-73.90574076861428,205,14,BX0501,University Heights (South)-Morris Heights,False,2170 DAVIDSON AVENUE,bbl_block
X01169727,New Building,2. Approved Application,2008290,2028560023,2,1376,INWOOD AVENUE,,,0.0,53,53.0,,2025-01-27,,,Other,APPLICATION FILED HEREWITH TO ERECT A NEW EIGHT STORY RESIDENTIAL BUIDLIGN WITH A TOTAL OF FIFTY THREE UNITS,40.84008656221408,-73.91906439512107,204,16,BX0403,Mount Eden-Claremont (West),False,1376 INWOOD AVENUE,bbl
X01181100,Demolition,3. Permitted for Construction,2008290,2028560023,2,1376,INWOOD AVENUE,,2025.0,3.0,0,-3.0,,2025-02-19,2025-04-09,,3 Family,Full demolition to a three story house,40.84008656221408,-73.91906439512107,204,16,BX0403,Mount Eden-Claremont (West),False,1376 INWOOD AVENUE,bbl
X01181103,Demolition,3. Permitted for Construction,2008291,2028560023,2,1378,INWOOD AVENUE,,2025.0,3.0,0,-3.0,,2025-02-19,2025-04-09,,3 Family,Full demolition to a three story house,40.840154743368615,-73.91903136964333,204,16,BX0403,Mount Eden-Claremont (West),False,1378 INWOOD AVENUE,bbl
X01207746,New Building,1. Filed Application,2803522,2028570006,2,1408,CROMWELL AVENUE,,,0.0,92,92.0,,2025-04-10,,,Other,APPLICATION FILED HEREWITH TO ERECT A NEW THIRTEEN STORY MIXED USE BUILDING WITH A TOTAL OF NINETY-TWO DWELLING UNITS,40.841138873524,-73.91908732042862,204,16,BX0403,Mount Eden-Claremont (West),False,1408 CROMWELL AVENUE,bbl
X01222014,Alteration,3. Permitted for Construction,2014289,2031980141,2,2366,DAVIDSON AVENUE,,2025.0,3.0,10,7.0,,2025-05-09,2025-10-31,,Other,PROPOSED INTERIOR RENOVATION CONVERTING EXISTING TWO STORY AND BASEMENT INTO A 10 UNIT RESIDENTIAL BUILDING,40.860537254621946,-73.90350806164689,207,14,BX0503,Fordham Heights,False,2366 DAVIDSON AVENUE,bbl_block
X01248963,Alteration,3. Permitted for Construction,2008694,2028720222,2,1513,JESUP AVENUE,,2026.0,2.0,10,8.0,,2025-07-02,2026-01-09,,Other,APPLICATION FILED HEREWITH TO CONVERT AN EXISTING THREE STORY TWO FAMILY BUILDING INTO A TEN FAMILY BUILDING,40.84384204644175,-73.91908064132109,204,16,BX0403,Mount Eden-Claremont (West),False,1513 JESUP AVENUE,bbl_block
