Job_Number,Job_Type,Job_Status,BIN,BBL,Boro,AddressNum,AddressSt,CompltYear,PermitYear,ClassAInit,ClassAProp,ClassANet,Units_CO,DateFiled,DatePermit,DateComplt,Bldg_Class,Job_Desc,hdb_completed,hdb_address,hdb_match_via,hdb_bbl_used,our_bbl,hdb_bbl_is_historic,matched_bin,bin_attach
B01313756,New Building,1. Filed Application,3094616,3042100017,3,950,GLENMORE AVENUE,,,0.0,29,29.0,,2025-11-13,,,Other,New 5-story 29-family building,False,950 GLENMORE AVENUE,bin,3042100017,3042100017,False,3094616,hdb_bin
B01328793,Demolition,1. Filed Application,3083880,3037250010,3,486,GLENMORE AVENUE,,,6.0,0,-6.0,,2025-12-17,,,Other,Full demolition of 3 story multi-family dwelling to comply with NYC HPD Emergency Declaration DEC# 19775,False,486 GLENMORE AVENUE,bbl,3037250010,3037250010,False,,no_footprint
B01329748,Alteration,1. Filed Application,3428771,3041570032,3,975,LIBERTY AVENUE,,,41.0,41,0.0,,2025-12-14,,,Other,Convert existing parking area to offices at first floor.,False,975 LIBERTY AVENUE,bin,3041570032,3041570032,False,3428771,hdb_bin
B08042891,Alteration,5. Completed Construction,3087923,3039520023,3,2930,FULTON STREET,2024.0,2023.0,4.0,8,4.0,8.0,2022-11-19,2023-01-27,2024-08-13,Other,CONVERT 2ND FLOOR EXISTING COMMUNITY FACILITY (U.G.4) TO RESIDENTIAL (U.G.2) 1ST FLOOR EXISTING COMMERCIAL (U.G. 6) AND 3RD FLOOR RESIDENTIAL 2 APARTMENTS (U.G.3) CHANGE TO 5 APARTMENTS (U.G. 2) EXISTING MIXED USE BUILDING. OBTAIN NEW C OF O.,True,2930 FULTON STREET,bin,3039520023,3039520023,False,3087923,hdb_bin
301244794,Alteration,5. Completed Construction,3087785,3039480012,3,183,HENDRIX STREET,2014.0,2002.0,2.0,3,1.0,3.0,2001-11-02,2002-08-23,2014-07-03,C0,,True,183 HENDRIX STREET,bin,3039480012,3039480012,False,3087785,hdb_bin
301414280,New Building,5. Completed Construction,3390509,3040020111,3,339,ELTON STREET,2016.0,2003.0,0.0,3,3.0,3.0,2002-09-23,2003-07-02,2016-06-09,B1,SUPERSEDE THE JOB WITH NEW APPLICANT AND WITH EXISTING PLAN FOR SIGN OFF THE J OB.,True,339 ELTON STREET,bin,3040020111,3040020111,False,3390509,hdb_bin
301773668,Alteration,5. Completed Construction,3038667,3014370015,3,2416,ATLANTIC AVENUE,2011.0,2005.0,0.0,119,119.0,119.0,2004-03-19,2005-03-04,2011-07-21,H3,ERECTION OF INTERIOR PARTITION &amp; CONVERSION OF EXISTING FACTORY B UILDING OLD CODE RESIDENTIAL OCCUPANCY,True,2416 ATLANTIC AVENUE,bin,3014370015,3014370015,False,3038667,hdb_bin
301917139,New Building,5. Completed Construction,3393451,3039760016,3,47,MONTAUK AVENUE,2020.0,2005.0,0.0,2,2.0,2.0,2005-03-31,2005-05-05,2020-10-20,B2,,True,47 MONTAUK AVENUE,bin,3039760016,3039760016,False,3393451,hdb_bin
301929723,Alteration,5. Completed Construction,3038981,3014500047,3,1643,EAST NEW YORK AVENUE,2011.0,2005.0,3.0,3,0.0,3.0,2005-05-16,2005-11-15,2011-09-15,C0,HEREBY FILING FOR COMPLETE GUT REHAB AS INDICTED ON PLANS FILED HEREWITH,True,1643 EAST NEW YORK AVENUE,bin,3014500047,3014500047,False,3038981,hdb_bin
301930864,Alteration,5. Completed Construction,3087982,3039530059,3,2946,FULTON STREET,2012.0,2005.0,3.0,3,0.0,3.0,2005-04-15,2005-05-04,2012-04-05,S3,THIS APPLICATION IS FILED TO PROPOSE CONVERSION OF EXISTING THREE STORY THREE DWELLING UNITS INTO ONE COMMERCIAL ON FIRST FLOOR AND THREE DWELLINGS AND TO OBTAIN A NEW CERTIFICATE OF OCCUPANCY.,True,2946 FULTON STREET,bin,3039530059,3039530059,False,3087982,hdb_bin
301826246,Alteration,5. Completed Construction,3083314,3036710036,3,2691,ATLANTIC AVENUE,2017.0,2004.0,0.0,2,2.0,2.0,2004-08-19,2004-09-02,2017-08-22,S1,INTERIOR ALTERATION OF EXISTING BUILDING.  CHANGE USE FROM STORE &amp; ONE DWELLING UNIT TO STORE  &amp; TWO DWELLING UNITS.,True,2691 ATLANTIC AVENUE,bin,3036710036,3036710036,False,3083314,hdb_bin
301834264,Alteration,5. Completed Construction,3038982,3014500048,3,2195,BERGEN STREET,2012.0,2007.0,2.0,1,-1.0,1.0,2004-10-04,2007-05-24,2012-01-27,S1,"MAJOR REHAB, NEW C OF O REQUIRED. REMOVE EXISTING PARTITIONS, INSTALL NEW PARTITIONS, NEW PLUMBING AND HEATING SYSTEM, NEW KITCHENS AND NEW BATHROOMS.",True,2195 BERGEN STREET,bin,3014500048,3014500048,False,3038982,hdb_bin
301997329,Alteration,5. Completed Construction,3087996,3039540018,3,2964,FULTON STREET,2011.0,2005.0,1.0,2,1.0,2.0,2005-08-22,2005-10-27,2011-04-29,B1,To convert existing doctor's office to one family dewlling unit at first floor. Horizontal extension on first floor. Obtain new c of o.,True,2964 FULTON STREET,bin,3039540018,3039540018,False,3087996,hdb_bin
302003187,New Building,5. Completed Construction,3854482,3042120035,3,70,DOSCHER STREET,2017.0,2007.0,0.0,2,2.0,2.0,2005-09-07,2007-10-12,2017-07-11,B1,,True,70 DOSCHER STREET,bbl,3042120035,3042120035,False,,no_footprint
302068438,Alteration,3. Permitted for Construction,3093168,3041540027,3,285,LOGAN STREET,,2006.0,2.0,2,0.0,,2006-01-31,2006-02-02,,S2,Proposed to convert existing Basement floor to Professional Office with garage. Obtain New C of O,False,285 LOGAN STREET,bin,3041540027,3041540027,False,3093168,hdb_bin
302070274,Alteration,5. Completed Construction,3088443,3039760015,3,49,MONTAUK AVENUE,2010.0,2006.0,2.0,2,0.0,2.0,2006-02-03,2006-09-05,2010-01-07,B2,"CONVERT BASEMENT FLOOR TO HOOUSE OF WORSHIP, USE GROUP 4 - LESS THANT 75 PERSONS DEMOLISH PARTITIONS AND INSTALL GIRDER AND POST SUPPORT.  NEW HANDICAP TOILET ROOM AND STANDARD TOILET ROOM.  REMOVE STAIR TO 1ST FLOOR AND FRAME OPENING.  NEW 2HR FIRE RATED SEPARATION BETWEEN BASEMENT AND 1ST FLOOR.",True,49 MONTAUK AVENUE,bin,3039760015,3039760015,False,3088443,hdb_bin
302076090,New Building,5. Completed Construction,3388207,3037230017,3,456,GLENMORE AVENUE,2010.0,2006.0,0.0,2,2.0,2.0,2006-01-25,2006-06-23,2010-09-27,B1,,True,456 GLENMORE AVENUE,bin,3037230017,3037230017,False,3388207,hdb_bin
302060677,Alteration,5. Completed Construction,3094677,3042120034,3,68,DOSCHER STREET,2017.0,2007.0,1.0,2,1.0,2.0,2006-01-11,2007-02-02,2017-07-07,B3,PROPOSED CONVERSION OF EXISTING 2-STY 1-FAM DWELLING TO A 2-STY 2-FAM DWELLING. NEW INSTALLATION OF PLUMBING FIXTURES AS INDICATED AS PLANS.,True,68 DOSCHER STREET,bin,3042120034,3042120034,False,3094677,hdb_bin
302147068,Alteration,5. Completed Construction,3083705,3037060033,3,206,WYONA STREET,2010.0,2008.0,2.0,2,0.0,2.0,2006-04-12,2008-10-10,2010-06-30,C0,"GUT REHABILITAION OF EXISTING RESIDENTIAL BUILDING. WORK INCLUDES NEW STAIRS, NEW LAYOUT AND WOOD JOIST REPLACEMENT. NEW PLUMBING AND HEATING. INCLUDE NEW BOILER INSTALLATION.",True,206 WYONA STREET,bin,3037060033,3037060033,False,3083705,hdb_bin
302162022,New Building,5. Completed Construction,3088808,3039950032,3,2263,PITKIN AVENUE,2022.0,2006.0,0.0,3,3.0,3.0,2006-05-24,2006-06-06,2022-09-15,C0,,True,2263 PITKIN AVENUE,bin,3039950032,3039950032,False,3088808,hdb_bin
302140662,New Building,5. Completed Construction,3402310,3041900040,3,148,FOUNTAIN AVENUE,2011.0,2009.0,0.0,2,2.0,2.0,2006-04-05,2009-12-22,2011-05-04,B1,,True,148 FOUNTAIN AVENUE,bin,3041900040,3041900040,False,3402310,hdb_bin
302141634,Alteration,5. Completed Construction,3088636,3039840028,3,691,GLENMORE AVENUE,2010.0,2008.0,2.0,2,0.0,2.0,2006-04-12,2008-10-08,2010-06-04,B2,"GUT REHABILITATION OF EXISTING RESIDENTIAL BUILDING. WORK INCLUDES NEW STAIRS, NEW LAYOUT AND WOOD JOIST REPLACEMENT. NEW PLUMBING AND HEATING. INCLUDE NEW BOILER INSTALLATION.",True,691 GLENMORE AVENUE,bin,3039840028,3039840028,False,3088636,hdb_bin
302183759,Alteration,5. Completed Construction,3093196,3041540087,3,88,FOUNTAIN AVENUE,2010.0,2007.0,3.0,3,0.0,3.0,2006-06-14,2007-05-01,2010-02-24,C0,"FILING FOR COMPLETE INTERIOR RENOVATIONOF EXISTING BUILDING.  NO CHANGE  IN EGRESS, USE AND/OR OCCUPANCY.",True,88 FOUNTAIN AVENUE,bin,3041540087,3041540087,False,3093196,hdb_bin
302183786,Alteration,5. Completed Construction,3088980,3040040021,3,394,SHEPHERD AVENUE,2010.0,2007.0,2.0,2,0.0,2.0,2006-06-14,2007-05-01,2010-04-15,B2,FILING FOR COMPLETE INTEROR REOVATION AND MAJOR IMPROVEMENTS OF EXISTING BULDING.,True,394 SHEPHERD AVENUE,bin,3040040021,3040040021,False,3088980,hdb_bin
302183795,Alteration,5. Completed Construction,3089282,3040200016,3,428,SHEPHERD AVENUE,2010.0,2007.0,2.0,2,0.0,2.0,2006-06-14,2007-05-01,2010-04-29,B2,FILING FOR COMPLETE INTERIOR RENOVATIONAND IMPROVEMENTS OF EXISTING BUI LDING.,True,428 SHEPHERD AVENUE,bin,3040200016,3040200016,False,3089282,hdb_bin
302189502,New Building,5. Completed Construction,3394600,3039990032,3,2359,PITKIN AVENUE,2019.0,2006.0,0.0,3,3.0,3.0,2006-07-07,2006-07-11,2019-02-15,C0,,True,2359 PITKIN AVENUE,bin,3039990032,3039990032,False,3394600,hdb_bin
302233189,New Building,5. Completed Construction,3094551,3042080017,3,886,GLENMORE AVENUE,2021.0,2016.0,0.0,3,3.0,3.0,2006-09-21,2016-10-18,2021-01-14,C0,,True,886 GLENMORE AVENUE,bin,3042080017,3042080017,False,3094551,hdb_bin
302239487,Alteration,5. Completed Construction,3087997,3039540019,3,2966,FULTON STREET,2011.0,2007.0,2.0,2,0.0,2.0,2006-11-01,2007-11-28,2011-01-13,K4,"GUT REHABILITAION OF EXISTING RESIDENTIAL/ COMMERCIAL BUILDING. WORK INCLUDES NEW STAIRS, NEW LAYOUT AND WOOD JOIST REPLACEMENT. NEW PLUMBING &amp; HEATING. INCLUDE NEW BOILER INSTALLATION.",True,2966 FULTON STREET,bin,3039540019,3039540019,False,3087997,hdb_bin
302253718,New Building,5. Completed Construction,3414920,3042090030,3,194,FOUNTAIN AVENUE,2015.0,2007.0,0.0,3,3.0,3.0,2006-11-08,2007-03-14,2015-08-25,C0,,True,194 FOUNTAIN AVENUE,bin,3042090030,3042090030,False,3414920,hdb_bin
302261031,New Building,5. Completed Construction,3088390,3039710047,3,737,LIBERTY AVENUE,2015.0,2007.0,0.0,3,3.0,3.0,2006-11-21,2007-03-21,2015-05-08,C1,,True,737 LIBERTY AVENUE,bin,3039710047,3039710047,False,3088390,hdb_bin
302296646,New Building,5. Completed Construction,3089034,3040070013,3,840,GLENMORE AVENUE,2010.0,2007.0,0.0,2,2.0,2.0,2007-01-16,2007-07-13,2010-01-12,B9,,True,840 GLENMORE AVENUE,bin,3040070013,3040070013,False,3089034,hdb_bin
302297967,New Building,5. Completed Construction,3088940,3040020029,3,472,LINWOOD STREET,2013.0,2007.0,0.0,2,2.0,2.0,2007-02-13,2007-03-19,2013-03-22,B1,,True,472 LINWOOD STREET,bin,3040020029,3040020029,False,3088940,hdb_bin
302223528,New Building,5. Completed Construction,3401620,3039340041,3,110,SCHENCK AVENUE,2014.0,2006.0,0.0,2,2.0,2.0,2006-09-08,2006-09-27,2014-07-14,B1,,True,110 SCHENCK AVENUE,bin,3039340041,3039340041,False,3401620,hdb_bin
302339583,New Building,5. Completed Construction,3414624,3040070033,3,180,MONTAUK AVENUE,2017.0,2007.0,0.0,2,2.0,2.0,2007-05-10,2007-08-08,2017-12-21,B1,,True,180 MONTAUK AVENUE,bin,3040070033,3040070033,False,3414624,hdb_bin
302346030,New Building,5. Completed Construction,3414620,3039960030,3,2295,PITKINS AVENUE,2014.0,2009.0,0.0,2,2.0,2.0,2007-05-18,2009-09-17,2014-03-18,B1,,True,2295 PITKINS AVENUE,bin,3039960030,3039960030,False,3414620,hdb_bin
302346502,New Building,5. Completed Construction,3094636,3042110019,3,970,GLENMORE AVENUE,2011.0,2009.0,0.0,7,7.0,7.0,2007-05-22,2009-03-25,2011-02-22,C1,,True,970 GLENMORE AVENUE,bin,3042110019,3042110019,False,3094636,hdb_bin
302361227,New Building,5. Completed Construction,3088986,3040050001,3,409,SHEPHERD AVENUE,2010.0,2008.0,0.0,3,3.0,3.0,2007-07-17,2008-04-18,2010-03-22,C0,,True,409 SHEPHERD AVENUE,bin,3040050001,3040050001,False,3088986,hdb_bin
302366570,New Building,5. Completed Construction,3397036,3039777501,3,509,GLENMORE AVENUE,2010.0,2008.0,0.0,12,12.0,12.0,2007-07-11,2008-08-01,2010-12-14,R0,PAA,True,509 GLENMORE AVENUE,bbl,3039777501,3039777501,False,,no_footprint
302322083,New Building,5. Completed Construction,3396239,3039720105,3,283,ESSEX STREET,2010.0,2008.0,0.0,2,2.0,2.0,2007-03-28,2008-01-16,2010-06-24,B2,,True,283 ESSEX STREET,bin,3039720105,3039720105,False,3396239,hdb_bin
302322092,New Building,5. Completed Construction,3088395,3039720005,3,281,ESSEX STREET,2010.0,2008.0,0.0,2,2.0,2.0,2007-03-28,2008-01-16,2010-04-22,B2,,True,281 ESSEX STREET,bin,3039720005,3039720005,False,3088395,hdb_bin
302328522,New Building,5. Completed Construction,3396924,3039830125,3,296,ASHFORD STREET,2011.0,2007.0,0.0,2,2.0,2.0,2007-04-17,2007-11-27,2011-01-28,B2,,True,296 ASHFORD STREET,bin,3039830125,3039830125,False,3396924,hdb_bin
302329629,Alteration,5. Completed Construction,3087700,3039420005,3,298,ARLINGTON AVENUE,2010.0,2007.0,2.0,2,0.0,2.0,2007-04-25,2007-06-14,2010-02-11,B2,,True,298 ARLINGTON AVENUE,bin,3039420005,3039420005,False,3087700,hdb_bin
302338726,New Building,5. Completed Construction,3395364,3040160025,3,2384,PITKIN AVENUE,2010.0,2007.0,0.0,2,2.0,2.0,2007-05-14,2007-12-28,2010-08-17,B2,,True,2384 PITKIN AVENUE,bin,3040160025,3040160025,False,3395364,hdb_bin
302338735,New Building,5. Completed Construction,3252812,3040160024,3,2382,PITKIN AVENUE,2010.0,2008.0,0.0,2,2.0,2.0,2007-05-14,2008-01-03,2010-07-27,B2,,True,2382 PITKIN AVENUE,bin,3040160024,3040160024,False,3252812,hdb_bin
302338744,New Building,5. Completed Construction,3252811,3040160023,3,2380,PITKIN AVENUE,2010.0,2007.0,0.0,2,2.0,2.0,2007-05-14,2007-12-28,2010-07-27,B2,,True,2380 PITKIN AVENUE,bin,3040160023,3040160023,False,3252811,hdb_bin
310055702,New Building,5. Completed Construction,3397490,3041900025,3,902,LIBERTY AVENUE,2010.0,2008.0,0.0,47,47.0,47.0,2007-11-27,2008-11-20,2010-10-25,D9,,True,902 LIBERTY AVENUE,bin,3041900025,3041900025,False,3397490,hdb_bin
310089178,Alteration,3. Permitted for Construction,3094726,3042150034,3,488,CRESCENT STREET,,2008.0,1.0,2,1.0,,2008-02-06,2008-08-13,,B3,,False,488 CRESCENT STREET,bin,3042150034,3042150034,False,3094726,hdb_bin
310093190,New Building,5. Completed Construction,3401695,3039760067,3,90,MILFORD STREET,2022.0,2009.0,0.0,2,2.0,2.0,2008-02-05,2009-09-17,2022-01-10,B1,,True,90 MILFORD STREET,bin,3039760067,3039760067,False,3401695,hdb_bin
310106186,New Building,5. Completed Construction,3422276,3040080021,3,878,GLENMORE AVENUE,2015.0,2012.0,0.0,3,3.0,3.0,2008-03-14,2012-06-22,2015-05-18,C0,,True,878 GLENMORE AVENUE,bin,3040080021,3040080021,False,3422276,hdb_bin
310186946,Alteration,5. Completed Construction,3094633,3042110009,3,119,CRYSTAL STREET,2010.0,2008.0,1.0,2,1.0,2.0,2008-08-21,2008-11-25,2010-03-26,B2,CONSTRUCT NEW ADDITIONS TO EXISTING FIRST AND SECOND FLOORS.  INSTALL INTERIOR PARTITIONS AND PLUMBING.  CHANGE ONE FAMILY USE TO A TWO FAMILY USE.  OBTAIN A NEW CERTIFICATE OF OCCUPANCY.,True,119 CRYSTAL STREET,bin,3042110009,3042110009,False,3094633,hdb_bin
310136616,New Building,5. Completed Construction,3420453,3015430007,3,73,MOTHER GASTON BOULEVARD,2015.0,2011.0,0.0,0,0.0,45.0,2008-05-07,2011-03-07,2015-06-29,H3,POST APPROVAL AMENDMENT FILED  HEREWITH TO AMEND SCHEDULE B,True,73 MOTHER GASTON BOULEVARD,bin,3015430007,3015430007,False,3420453,hdb_bin
310141888,New Building,5. Completed Construction,3397993,3039800004,3,255,SCHENCK AVENUE,2012.0,2009.0,0.0,3,3.0,3.0,2008-05-20,2009-06-03,2012-04-09,C0,,True,255 SCHENCK AVENUE,bin,3039800004,3039800004,False,3397993,hdb_bin
310141897,New Building,5. Completed Construction,3401720,3039800105,3,251,SCHENCK AVENUE,2012.0,2009.0,0.0,2,2.0,2.0,2008-05-20,2009-06-02,2012-04-09,C0,,True,251 SCHENCK AVENUE,bin,3039800105,3039800105,False,3401720,hdb_bin
310141904,New Building,5. Completed Construction,3397992,3039800003,3,257,SCHENCK AVENUE,2012.0,2009.0,0.0,3,3.0,3.0,2008-05-20,2009-06-03,2012-04-09,C0,,True,257 SCHENCK AVENUE,bin,3039800003,3039800003,False,3397992,hdb_bin
310141913,New Building,5. Completed Construction,3397994,3039800005,3,253,SCHENCK AVENUE,2012.0,2009.0,0.0,3,3.0,3.0,2008-05-20,2009-06-03,2012-04-09,C0,,True,253 SCHENCK AVENUE,bin,3039800005,3039800005,False,3397994,hdb_bin
320069153,New Building,5. Completed Construction,3422218,3039980006,3,315,JEROME STREET,2014.0,2012.0,0.0,3,3.0,3.0,2009-09-11,2012-02-13,2014-08-28,C0,,True,315 JEROME STREET,bin,3039980006,3039980006,False,3422218,hdb_bin
320103605,Alteration,5. Completed Construction,3089196,3040160022,3,2378,PITKIN AVENUE,2012.0,2011.0,2.0,2,0.0,3.0,2009-12-24,2011-10-13,2012-06-27,C0,LEGALIZING THE CONVERSION OF A STORE TO AN APARTMENT IN THE FIRST FLOOR. TOTAL OCCUPANCY 3 CLASS A APARTMENTS.,True,2378 PITKIN AVENUE,bin,3040160022,3040160022,False,3089196,hdb_bin
320196676,New Building,5. Completed Construction,3398481,3041540008,3,341,LOGAN STREET,2013.0,2011.0,0.0,3,3.0,3.0,2010-07-30,2011-08-04,2013-02-19,B2,,True,341 LOGAN STREET,bin,3041540008,3041540008,False,3398481,hdb_bin
320224743,Demolition,5. Completed Construction,3087766,3039470009,3,129,VAN SICLEN AVENUE,2010.0,2010.0,1.0,0,-1.0,,2010-10-12,2010-12-01,2010-12-01,V0,FULL DEMOLITION OF TWO STORY STRUCTURE USING MECHANICAL MEANS,True,129 VAN SICLEN AVENUE,bbl,3039470009,3039470009,False,,no_footprint
320246523,Alteration,5. Completed Construction,3327118,3039720001,3,297 REAR,ESSEX STREET,2018.0,2015.0,0.0,10,10.0,10.0,2010-12-03,2015-05-26,2018-05-25,D1,FILING TO RENOVATE AND CONVERT FROM EXISTING NON-CONFORMING USE (MANUFACTURING USE) TO A CONFORMING USE (RESIDENTIAL USE),True,297 REAR ESSEX STREET,bin,3039720001,3039720001,False,3327118,hdb_bin
320247782,Alteration,5. Completed Construction,3083398,3036740042,3,2745,ATLANTIC AVENUE,2011.0,2011.0,1.0,1,0.0,1.0,2010-11-24,2011-03-14,2011-07-07,K4,PROPOSED CONVERSION OF EXISTING (2) TWO RETAIL STORES INTO ONE (1) DAYCARE FACULTY AND (1) RETAIL STORE.  ALL AS PER PLANS FILED HEREWITH.,True,2745 ATLANTIC AVENUE,bbl,3036740042,3036740042,False,3430199,lot_single_bin
320249717,Alteration,5. Completed Construction,3397941,3039470022,3,182,HENDRIX STREET,2011.0,2011.0,9.0,9,0.0,9.0,2010-12-10,2011-04-11,2011-08-26,C7,CONVERT EXISTING CERTIFICATE OF OCCUPANCY FOR  DAY CARE CENTER INTO A  DAY CARE AND NURSERY FACILITY.,True,182 HENDRIX STREET,bin,3039470022,3039470022,False,3397941,hdb_bin
320267466,Alteration,5. Completed Construction,3326835,3037200026,3,206,PENNSYLVANIA AVENUE,2013.0,2011.0,0.0,2,2.0,2.0,2011-02-01,2011-05-12,2013-06-25,B1,,True,206 PENNSYLVANIA AVENUE,bin,3037200026,3037200026,False,3326835,hdb_bin
320270274,Alteration,5. Completed Construction,3088794,3039940035,3,2225,PITKIN AVENUE,2016.0,2012.0,2.0,2,0.0,2.0,2011-02-14,2012-09-26,2016-12-23,S9,OBTAIN NEW CERTIFICATE OF OCCUPANCY AND LEGALIZATION OF PL WORK (2 FIXTURES -TOILET) ON 1ST FLOOR,True,2225 PITKIN AVENUE,bin,3039940035,3039940035,False,3088794,hdb_bin
320161043,Alteration,5. Completed Construction,3088506,3039780033,3,310,HENDRIX STREET,2011.0,2010.0,2.0,2,0.0,2.0,2010-05-21,2010-08-10,2011-10-21,A1,LEGALIZATION OF EXISTING TWO FAMILY DWELLING.,True,310 HENDRIX STREET,bin,3039780033,3039780033,False,3088506,hdb_bin
320176171,Alteration,5. Completed Construction,3093157,3041540007,3,339,LOGAN STREET,2012.0,2011.0,2.0,2,0.0,2.0,2010-06-17,2011-02-17,2012-12-12,B2,,True,339 LOGAN STREET,bin,3041540007,3041540007,False,3093157,hdb_bin
320180594,Alteration,5. Completed Construction,3038812,3014440015,3,2406,PACIFIC STREET,2013.0,2011.0,2.0,1,-1.0,1.0,2010-06-28,2011-10-04,2013-01-30,A5,,True,2406 PACIFIC STREET,bin,3014440015,3014440015,False,3038812,hdb_bin
320181815,Alteration,5. Completed Construction,3083393,3036740038,3,2765,ATLANTIC AVENUE,2016.0,2011.0,2.0,4,2.0,4.0,2010-07-02,2011-11-30,2016-10-18,K4,,True,2765 ATLANTIC AVENUE,bin,3036740038,3036740038,False,3083393,hdb_bin
320284606,Alteration,5. Completed Construction,3042730,3015720018,3,1424,HERKIMER STREET,2011.0,2011.0,0.0,0,0.0,20.0,2011-03-15,2011-05-06,2011-12-01,N2,,True,1424 HERKIMER STREET,bin,3015720018,3015720018,False,3042730,hdb_bin
320395942,Demolition,5. Completed Construction,3083849,3037230011,3,265,VERMONT STREET,2012.0,2012.0,2.0,0,-2.0,,2011-11-28,2012-01-31,2012-01-31,V0,NYC HPD - DEMOLITION OF (1) 2 STORY FRAME BUILDING,True,265 VERMONT STREET,bbl,3037230011,3037230011,False,,no_footprint
320410444,Alteration,3. Permitted for Construction,3094667,3042120015,3,982,GLENMORE AVENUE,,2012.0,1.0,2,1.0,,2011-12-09,2012-02-06,,B3,"CONVERSION FROM SINGLE TO A TWO FAMILY DWELLING. FIRES RESTORATION. INTERIOR RENOVATION WITH EXTERIOR RESTORATION. CAP AND REMOVE PLUMBING FIXTURES AT ATTIC LEVEL, REMOVE PARTITION WALLS AT CELLAR LEVEL TO RESOLVE ECB VIOLATION #34854409X. NO CHANGE IN BULK OR EGRESS.",False,982 GLENMORE AVENUE,bin,3042120015,3042120015,False,3094667,hdb_bin
320422048,New Building,5. Completed Construction,3087925,3039520027,3,156,ASHFORD STREET,2013.0,2012.0,0.0,4,4.0,4.0,2012-02-06,2012-09-25,2013-11-19,S4,,True,156 ASHFORD STREET,bin,3039520027,3039520027,False,3087925,hdb_bin
320356654,Alteration,5. Completed Construction,3087789,3039480017,3,2824,FULTON STREET,2012.0,2011.0,3.0,2,-1.0,2.0,2011-08-31,2011-11-29,2012-09-19,S2,CONVERT EXISTING ONE STORE AND 3 FAMILY HOUSE INTO A U.G.6 EATING &amp; DRINKING ESTABLISHMENT AND 2-FAMILY HOUSE. OBTAIN NEW C.OF O.,True,2824 FULTON STREET,bin,3039480017,3039480017,False,3087789,hdb_bin
320373528,New Building,5. Completed Construction,3422260,3040060031,3,176,ATKINS AVENUE,2013.0,2012.0,0.0,2,2.0,2.0,2012-02-10,2012-06-27,2013-11-21,B1,,True,176 ATKINS AVENUE,bin,3040060031,3040060031,False,3422260,hdb_bin
320447833,New Building,5. Completed Construction,3424186,3039980006,3,319,JEROME STREET,2014.0,2012.0,0.0,3,3.0,3.0,2012-03-14,2012-05-22,2014-10-15,C0,,True,319 JEROME STREET,bbl,3039980006,3039980006,False,3422218,lot_single_bin
320448431,New Building,5. Completed Construction,3398085,3039980006,3,317,JEROME STREET,2014.0,2012.0,0.0,3,3.0,3.0,2012-03-19,2012-05-22,2014-10-15,C0,,True,317 JEROME STREET,bbl,3039980006,3039980006,False,3422218,lot_single_bin
320461308,Alteration,5. Completed Construction,3088142,3039580011,3,193,SHEPHERD AVENUE,2016.0,2015.0,2.0,2,0.0,2.0,2012-04-11,2015-04-23,2016-08-30,B1,TO OBTAIN CERTIFIED OF OCCUPANCY FOR AN EXISTING 2 FAMILY DWELLING.  INSTALL NEW PLUMBING FIXTURES IN CELLAR.,True,193 SHEPHERD AVENUE,bin,3039580011,3039580011,False,3088142,hdb_bin
320537371,New Building,5. Completed Construction,3398337,3037250017,3,508,GLENMORE AVENUE,2015.0,2012.0,0.0,3,3.0,3.0,2012-08-14,2012-11-19,2015-05-22,C0,,True,508 GLENMORE AVENUE,bin,3037250017,3037250017,False,3398337,hdb_bin
320537380,New Building,5. Completed Construction,3399061,3037250014,3,502,GLENMORE AVENUE,2015.0,2013.0,0.0,3,3.0,3.0,2012-08-14,2013-03-20,2015-05-22,C0,PROPOSED THREE FAMILY DWELLING  THE FILED APPLICATION IS COMPLETE AS REQUIRED IN ITEM 1 ABOVE. I WILL SELF-CERTIFY THE REMOVAL OF ALL OBJECTIONS TO BE ISSUED ON THIS APPLICATION,True,502 GLENMORE AVENUE,bin,3037250014,3037250014,False,3399061,hdb_bin
320537399,New Building,5. Completed Construction,3398336,3037250016,3,506,GLENMORE AVENUE,2015.0,2012.0,0.0,3,3.0,3.0,2012-08-14,2012-12-13,2015-05-22,C0,PROPOSED THREE FAMILY DWELLING  THE FILED APPLICATION IS COMPLETE AS REQUIRED IN ITEM 1 ABOVE. I WILL SELF-CERTIFY THE REMOVAL OF ALL OBJECTIONS TO BE ISSUED ON THIS APPLICATION,True,506 GLENMORE AVENUE,bin,3037250016,3037250016,False,3398336,hdb_bin
320537406,New Building,5. Completed Construction,3398335,3037250015,3,504,GLENMORE AVENUE,2015.0,2013.0,0.0,3,3.0,3.0,2012-08-14,2013-01-11,2015-05-15,C0,PROPOSED THREE FAMILY DWELLING  THE FILED APPLICATION IS COMPLETE AS REQUIRED IN ITEM 1 ABOVE. I WILL SELF-CERTIFY THE REMOVAL OF ALL OBJECTIONS TO BE ISSUED ON THIS APPLICATION,True,504 GLENMORE AVENUE,bin,3037250015,3037250015,False,3398335,hdb_bin
320548252,Alteration,5. Completed Construction,3087923,3039520023,3,2930,FULTON STREET,2013.0,2012.0,2.0,4,2.0,4.0,2012-08-24,2012-12-03,2013-12-23,K4,"CHANGE USE FROM MANUFACTURING TO COMMERCIAL ON FIRST FLOOR, COMMUNITY FACILITY ON SECOND FLOOR AND TWO FAMILY DWELLING ON THIRD FLOOR. OBTAIN NEW C OF O",True,2930 FULTON STREET,bin,3039520023,3039520023,False,3087923,hdb_bin
